categoria,subcategoria,label
Custos,Aeromóvel,Impostos e Taxas - PIS (Aeromóvel)
Custos,Aeromóvel,Impostos e Taxas - Cofins (Aeromóvel)
Custos,Aeromóvel,Impostos e Taxas - Alíquota Outros Impostos (Aeromóvel)
Custos,Aeromóvel,Impostos e Taxas - Outros Impostos (Aeromóvel)
Demanda,Ônibus,Passageiros de Ônibus (Comum)
Demanda,Ônibus,Passageiros de Ônibus (Vale Transporte)
Demanda,Ônibus,Passageiros de Ônibus (Estudante)
Demanda,Ônibus,Passageiros de Ônibus (Integração)
Demanda,Ônibus,Passageiros de Ônibus (Gratuidade)
Demanda,Ônibus,Passageiros de Ônibus (Equivalentes)
Demanda,Vans/Microônibus,Passageiros de Vans/Microônibus (Comum)
Demanda,Vans/Microônibus,Passageiros de Vans/Microônibus (Vale Transporte)
Demanda,Vans/Microônibus,Passageiros de Vans/Microônibus (Estudante)
Demanda,Vans/Microônibus,Passageiros de Vans/Microônibus (Integração)
Demanda,Vans/Microônibus,Passageiros de Vans/Microônibus (Gratuidade)
Demanda,Vans/Microônibus,Passageiros de Vans/Microônibus (Equivalentes)
Demanda,Metrô,Passageiros de Metrô (Comum)
Demanda,Metrô,Passageiros de Metrô (Vale Transporte)
Demanda,Metrô,Passageiros de Metrô (Estudante)
Demanda,Metrô,Passageiros de Metrô (Integração)
Demanda,Metrô,Passageiros de Metrô (Gratuidade)
Demanda,Metrô,Passageiros de Metrô (Equivalentes)
Demanda,Trem,Passageiros de Trem (Comum)
Demanda,Trem,Passageiros de Trem (Vale Transporte)
Demanda,Trem,Passageiros de Trem (Estudante)
Demanda,Trem,Passageiros de Trem (Integração)
Demanda,Trem,Passageiros de Trem (Gratuidade)
Demanda,Trem,Passageiros de Trem (Equivalentes)
Demanda,Barco,Passageiros de Barco (Comum)
Demanda,Barco,Passageiros de Barco (Vale Transporte)
Demanda,Barco,Passageiros de Barco (Estudante)
Demanda,Barco,Passageiros de Barco (Integração)
Demanda,Barco,Passageiros de Barco (Gratuidade)
Demanda,Barco,Passageiros de Barco (Equivalentes)
Demanda,VLT,Passageiros de VLT (Comum)
Demanda,VLT,Passageiros de VLT (Vale Transporte)
