"code_variable";"label";"label_pergunta";"categoria";"subcategoria";"is_dashboard";"is_tabela";"is_absolute";"is_average";"is_percentage"
"2.1.1.E";"Velocidade Média do Trem (pico)";"Qual a velocidade média operacional (km/h) do sistema de trem do município no horário de pico?";"Infraestrutura";"Trem";"1";NA;"0";"1";"0"
"2.1.1.F";"Velocidade Média do VLT (pico)";"Qual a velocidade média operacional (km/h) do sistema de VLT do município no horário de pico?";"Infraestrutura";"VLT";"1";NA;"0";"1";"0"
"2.1.1.G";"Velocidade Média do Monotrilho (pico)";"Qual a velocidade média operacional (km/h) do sistema de monotrilho do município no horário de pico?";"Infraestrutura";"Monotrilho";"1";NA;"0";"1";"0"
"2.1.1.H";"Velocidade Média do Aeromóvel (pico)";"Qual a velocidade média operacional (km/h) do sistema de aeromóvel do município no horário de pico?";"Infraestrutura";"Aeromóvel";"1";NA;"0";"1";"0"
"2.1.2";"Velocidade Média do Transporte Público em Vias Mistas";"Qual a velocidade média operacional (km/h) do sistema de transporte público coletivo em vias de tráfego misto no horário de pico?";"Infraestrutura";"Ônibus";"1";"1";"0";"1";"0"
"2.2.1";"Táxi no Corredor de Ônibus";"É possível a circulação de táxis nos corredores de ônibus?";"Infraestrutura";"Táxi";"0";"1";"0";"0";"0"
"2.3.1.A";"Idade Média da Frota de Ônibus";"Qual a idade média da frota do serviço de transporte por ônibus no município? (em anos)";"Frota";"Ônibus";"0";"1";"0";"1";"0"
"2.3.1.B";"Idade Média da Frota de Microônibus";"Qual a idade média da frota do serviço de transporte por vans/microônibus no município? (em anos)";"Frota";"Vans/Microônibus";"0";"1";"0";"1";"0"
"2.3.1.C";"Idade Média da Frota de Metrô";"Qual a idade média da frota do serviço de transporte por metrô no município? (em anos)";"Frota";"Metrô";"1";NA;"0";"1";"0"
"2.3.1.D";"Idade Média da Frota de Trens";"Qual a idade média da frota do serviço de transporte por trem no município? (em anos)";"Frota";"Trem";"1";NA;"0";"1";"0"
"2.3.1.E";"Idade Média da Frota de VLTs";"Qual a idade média da frota do serviço de transporte por VLT no município? (em anos)";"Frota";"VLT";"0";NA;"0";"1";"0"
"2.3.1.F";"Idade Média da Frota de Monotrilho";"Qual a idade média da frota do serviço de transporte por monotrilho no município? (em anos)";"Frota";"Monotrilho";"0";NA;"0";"1";"0"
"2.3.1.G";"Idade Média da Frota de Aeromóvel";"Qual a idade média da frota do serviço de transporte por aeromóvel no município? (em anos)";"Frota";"Aeromóvel";"0";NA;"0";"1";"0"
"2.3.1.H";"Idade Média da Frota de Táxis";"Qual a idade média da frota do serviço de transporte por Táxi no município? (em anos)";"Frota";"Táxi";"0";"1";"0";"1";"0"
"2.4.1.A";"Terminais Rodoviários com Itinerários";"Qual o número de terminais rodoviários com informações aos usuários sobre itinerários?";"Infraestrutura";"Ônibus";"0";"1";"1";"0";"0"
"2.4.1.B";"Terminais Rodoviários com Informações sobre Horários";"Qual o número de terminais rodoviários com informações aos usuários sobre horários?";"Infraestrutura";"Ônibus";"0";"1";"1";"0";"0"
"2.4.1.C";"Terminais Rodoviários com Informações sobre Tarifas";"Qual o número de terminais rodoviários com informações aos usuários sobre tarifas dos serviços?";"Infraestrutura";"Ônibus";"0";"1";"1";"0";"0"
"2.4.1.D";"Terminais Rodoviários com Informações sobre Integrações";"Qual o número de terminais rodoviários com informações aos usuários sobre formas de integração com outros modos de transporte?";"Infraestrutura";"Ônibus";"0";"1";"1";"0";"0"
"2.4.1.E";"Estações Metroviárias com Itinerários";"Qual o número de estações metroferroviárias com informações aos usuários sobre itinerários?";"Infraestrutura";"Metrô/Trem";"1";"1";"1";"0";"0"
"2.4.1.F";"Estações Metroviárias com Informações sobre Horários";"Qual o número de estações metroferroviárias com informações aos usuários sobre horários?";"Infraestrutura";"Metrô/Trem";"1";"1";"1";"0";"0"
"2.4.1.G";"Estações Metroviárias com Informações sobre Tarifas";"Qual o número de estações metroferroviárias com informações aos usuários sobre tarifas dos serviços?";"Infraestrutura";"Metrô/Trem";"1";"1";"1";"0";"0"
"2.4.1.H";"Estações Metroviárias com Informações sobre Integrações";"Qual o número de estações metroferroviárias com informações aos usuários sobre formas de integração com outros modos de transporte?";"Infraestrutura";"Metrô/Trem";"1";"1";"1";"0";"0"
"2.4.2.A";"Pontos de Embarque com Itinerários";"Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre itinerários?";"Infraestrutura";"Ônibus";"1";"1";"1";"0";"0"
"2.4.2.B";"Pontos de Embarque com Informações sobre Horários";"Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre horários?";"Infraestrutura";"Ônibus";"1";"1";"1";"0";"0"
"2.4.2.C";"Pontos de Embarque com Informações sobre Tarifas";"Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre tarifas?";"Infraestrutura";"Ônibus";"1";"1";"1";"0";"0"
"2.4.2.D";"Pontos de Embarque com Informações sobre Integrações";"Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre modos de interação com outros modos de transporte?";"Infraestrutura";"Ônibus";"1";"1";"1";"0";"0"
"2.5.1";"Existe Pesquisa de Satisfação de Usuário";"O município realiza pesquisa de satisfação dos usuários?";"Outros";"Governança e Leis";"0";"1";"0";"0";"0"
"2.5.1.A";"Ano da Pesquisa";"Ano de realização da pesquisa:";"missing";NA;"0";"0";"1";"0";"0"
"2.5.1.B";"Website Satisfação de Usuário";"Em qual website é possível obter a pesquisa de satisfação dos usuários em formato digital?";"missing";NA;"0";"0";"0";"0";"0"
"2.6.1.A";"Existe informação sobre pontualidade e regularidade (Ônibus)";"O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por ônibus?";"Infraestrutura";"Ônibus";"0";"1";"0";"0";"0"
"2.6.1.B";"Existe informação sobre pontualidade e regularidade (Microônibus)";"O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por vans/microônibus?";"Infraestrutura";"Vans/Microônibus";"0";"1";"0";"0";"0"
"2.6.1.C";"Existe informação sobre pontualidade e regularidade (Metrô)";"O município possui informações sobre pontualidade e regularidade na prestação do serviço de transporte por metrô?";"Infraestrutura";"Metrô";"0";"1";"0";"0";"0"
