code_variable,name_variable,label_pergunta,label,tipo,modal,is_dashboard,is_portal,is_transform,is_average,is_percentage,is_absolute,is_candidate,categoria
2.4.2.A,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre itinerários?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre itinerários?,Pontos de Embarque com Itinerários,numeric,NA,1,1,1,0,0,1,1,Infraestrutura
2.4.2.B,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre horários?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre horários?,Pontos de Embarque com Informações sobre Horários,numeric,NA,1,1,1,0,0,1,1,Infraestrutura
2.4.2.C,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre tarifas?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre tarifas?,Pontos de Embarque com Informações sobre Tarifas,numeric,NA,1,1,1,0,0,1,1,Infraestrutura
2.4.2.D,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre modos de interação com outros modos de transporte?,Qual o número total de pontos de embarque e desembarque com informações aos usuários sobre modos de interação com outros modos de transporte?,Pontos de Embarque com Informações sobre Integrações,numeric,NA,1,1,1,0,0,1,1,Infraestrutura
2.5.1.A,Ano de realização da pesquisa:,Ano de realização da pesquisa:,Ano da Pesquisa,numeric,NA,0,0,0,0,0,1,1,missing
2.6.2.A,Qual a porcentagem de viagens por ônibus foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por ônibus foram realizadas dentro do horário programado no ano? (%),Viagens de Ônibus Realizadas no Horário Programado (%),numeric,Ônibus,1,1,0,0,0,1,1,Frota
2.6.2.B,Qual a porcentagem de viagens por vans/microônibus foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por vans/microônibus foram realizadas dentro do horário programado no ano? (%),Viagens de Microônibus Realizadas no Horário Programado (%),numeric,Microônibus,1,1,0,0,0,1,1,Frota
2.6.2.E,Qual a porcentagem de viagens por barco foram realizadas dentro do horário programado em 2023? (%),Qual a porcentagem de viagens por barco foram realizadas dentro do horário programado no ano? (%),Viagens de Barco Realizadas no Horário Programado (%),numeric,Barco,1,1,0,0,0,1,1,Frota
2.6.2.I,Qual a porcentagem de viagens por ônibus não foram completadas em 2023? (%),Qual a porcentagem de viagens por ônibus não foram completadas no ano? (%),Viagens de Ônibus Incompletas (%),numeric,Ônibus,1,1,0,0,0,1,1,Frota
2.6.2.J,Qual o percentual de viagens por vans/microônibus não foram completadas em 2023? (%),Qual o percentual de viagens por vans/microônibus não foram completadas no ano? (%),Viagens de Ônibus Incompletas Microônibus(%),numeric,Microônibus,1,1,0,0,1,0,1,Frota
2.6.2.K,Qual o percentual de viagens por metrô não foram completadas em 2023? (%),Qual o percentual de viagens por metrô não foram completadas no ano? (%),Viagens de Metrô Incompletas (%),numeric,Metrô,1,1,0,0,1,0,1,Frota
2.6.2.L,Qual o percentual de viagens por trem não foram completadas em 2023? (%),Qual o percentual de viagens por trem não foram completadas no ano? (%),Viagens de Trem Incompletas (%),numeric,Trem,1,1,0,0,1,0,1,Frota
2.6.2.M,Qual o percentual de viagens por barco não foram completadas em 2023? (%),Qual o percentual de viagens por barco não foram completadas no ano? (%),Viagens de Barco Incompletas (%),numeric,Barco,1,1,0,0,1,0,1,Frota
2.6.2.N,Qual o percentual de viagens por VLT não foram completadas em 2023? (%),Qual o percentual de viagens por VLT não foram completadas no ano? (%),Viagens de VLT Incompletas (%),numeric,VLT,1,1,0,0,1,0,1,Frota
2.6.2.O,Qual o percentual de viagens por monotrilho não foram completadas em 2023? (%),Qual o percentual de viagens por monotrilho não foram completadas no ano? (%),Viagens de Monotrilho Incompletas (%),numeric,Monotrilho,1,1,0,0,1,0,1,Frota
3.1.1.A,Qual o valor da atual tarifa predominante do município?,Qual o valor da atual tarifa predominante do município?,Valor da Tarifa,numeric,NA,1,1,0,0,0,1,1,Tarifas
3.1.1.B,Qual o valor anterior da tarifa predominante no município?,Qual o valor anterior da tarifa predominante no município?,Valor Anterior da Tarifa,numeric,NA,0,0,0,0,0,1,1,Tarifas
3.2.1.A,Qual o valor da receita tarifária anual por ônibus arrecadado em 2023?,Qual o valor da receita tarifária anual por ônibus arrecadado no ano?,Receita Tarifária (Ônibus),numeric,Ônibus,1,1,1,0,0,1,1,Receita
3.2.1.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por ônibus em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por ônibus no ano?",Subsídios a Passageiros (Ônibus),numeric,Ônibus,1,1,1,0,0,1,1,Receita
3.2.1.C,"Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por ônibus em 2023?","Se houver receita extratarifária, qual o valor arrecadado com subsídio direto ao sistema (subvenção) no sistema por ônibus no ano?",Subsídios ao Sistema (Ônibus),numeric,Ônibus,1,1,1,0,0,1,1,Receita
3.2.1.D,"Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por ônibus em 2023?","Se houver receita extratarifária, qual o valor arrecadado com publicidade em abrigos, terminais e veículos no sistema por ônibus no ano?",Receita Extratarifária com Publicidade (Ônibus),numeric,Ônibus,1,1,1,0,0,1,1,Receita
3.2.1.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por ônibus em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por ônibus no ano?",Receita Extratarifária de Outras Fontes (Ônibus),numeric,Ônibus,1,1,1,0,0,1,1,Receita
3.2.2.A,Qual o valor da receita tarifária anual por vans/microônibus arrecadado em 2023?,Qual o valor da receita tarifária anual por vans/microônibus arrecadado no ano?,Receita Tarifária (Ônibus),numeric,Microônibus,1,1,1,0,0,1,1,Receita
3.2.2.B,"Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por vans/microônibus em 2023?","Se houver receita extratarifária, qual o valor de subsídio associado a passageiros com benefícios tarifários utilizado no sistema por vans/microônibus no ano?",Subsídios a Passageiros (Ônibus),numeric,Microônibus,1,1,1,0,0,1,1,Receita
3.2.5.A,Qual o valor da receita tarifária anual por barco arrecadado em 2023?,Qual o valor da receita tarifária anual por barco arrecadado no ano?,Receita Tarifária (Ônibus),numeric,Barco,1,1,1,0,0,1,1,Receita
3.2.6.E,"Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por VLT em 2023?","Se houver receita extratarifária, qual o valor arrecadado com outras fontes de recursos no sistema por VLT no ano?",Receita Extratarifária de Outras Fontes (Ônibus),numeric,VLT,1,1,1,0,0,1,1,Receita
3.3.1.A,Quais os impostos incidentes no serviço de transporte por ônibus?,Quais os impostos incidentes no serviço de transporte por ônibus?,Impostos Incidentes (Ônibus),numeric,Ônibus,1,1,1,0,0,1,1,Custos
3.3.1.B,Qual o percentual de ISS incidente no serviço de transporte por ônibus?,Qual o percentual de ISS incidente no serviço de transporte por ônibus?,Impostos e taxas - Alíquota ISS (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.3.1.C,Qual o percentual de Taxa de Gerenciamento incidente no serviço de transporte por ônibus?,Qual o percentual de Taxa de Gerenciamento incidente no serviço de transporte por ônibus?,Impostos e Taxas - Taxa de Gerenciamento (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.3.1.D,Qual o percentual de PIS incidente no serviço de transporte por ônibus?,Qual o percentual de PIS incidente no serviço de transporte por ônibus?,Impostos e Taxas - PIS (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.3.1.E,Qual o percentual de Cofins incidente no serviço de transporte por ônibus?,Qual o percentual de Cofins incidente no serviço de transporte por ônibus?,Impostos e Taxas - Cofins (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.3.1.F,Qual o percentual de outros impostos incidentes no serviço de transporte por ônibus?,Qual o percentual de outros impostos incidentes no serviço de transporte por ônibus?,Impostos e Taxas - Alíquota Outros Impostos (Ônibus),numeric,Ônibus,1,1,1,0,1,0,1,Custos
3.3.1.G,Quais outros impostos incidem no serviço de transporte por ônibus?,Quais outros impostos incidem no serviço de transporte por ônibus?,Impostos e Taxas - Outros Impostos (Ônibus),numeric,Ônibus,1,1,1,0,0,1,1,Custos
3.3.1.H,Quais os impostos incidentes no serviço de transporte por vans/microônibus?,Quais os impostos incidentes no serviço de transporte por vans/microônibus?,Impostos Incidentes (Ônibus),numeric,Microônibus,1,1,1,0,0,1,1,Custos
3.3.1.I,Qual o percentual de ISS incidente no serviço de transporte por vans/microônibus?,Qual o percentual de ISS incidente no serviço de transporte por vans/microônibus?,Impostos e taxas - Alíquota ISS (Ônibus),numeric,Microônibus,1,1,1,0,1,0,1,Custos
3.3.1.M,Qual o percentual de outros impostos incidentes no serviço de transporte por vans/microônibus?,Qual o percentual de outros impostos incidentes no serviço de transporte por vans/microônibus?,Impostos e Taxas - Alíquota Outros Impostos (Ônibus),numeric,Microônibus,1,1,1,0,1,0,1,Custos
3.3.1.N,Quais outros impostos incidem no serviço de transporte por vans/microônibus?,Quais outros impostos incidem no serviço de transporte por vans/microônibus?,Impostos e Taxas - Outros Impostos (Ônibus),numeric,Microônibus,1,1,1,0,0,1,1,Custos
3.3.1.AC,Quais os impostos incidentes no serviço de transporte por barco?,Quais os impostos incidentes no serviço de transporte por barco?,Impostos Incidentes (Ônibus),numeric,Barco,1,1,1,0,0,1,1,Custos
3.4.1.A,Qual o número de passageiros comuns transportados no serviço de transporte por ônibus em 2023?,Qual o número de passageiros comuns transportados no serviço de transporte por ônibus no ano?,Passageiros de Ônibus (Comum),numeric,Ônibus,1,1,1,0,0,1,1,Demanda
3.4.1.B,Qual o número de passageiros transportados com Vale Transporte no serviço de transporte por ônibus em 2023?,Qual o número de passageiros transportados com Vale Transporte no serviço de transporte por ônibus no ano?,Passageiros de Ônibus (Vale Transporte),numeric,Ônibus,1,1,1,0,0,1,1,Demanda
3.4.1.C,Qual o número de estudantes transportados no serviço de transporte por ônibus em 2023?,Qual o número de estudantes transportados no serviço de transporte por ônibus no ano?,Passageiros de Ônibus (Estudante),numeric,Ônibus,1,1,1,0,0,1,1,Demanda
3.4.1.D,Qual o número de passageiros transportados com integração tarifária no serviço de transporte por ônibus em 2023?,Qual o número de passageiros transportados com integração tarifária no serviço de transporte por ônibus no ano?,Passageiros de Ônibus (Integração),numeric,Ônibus,1,1,1,0,0,1,1,Demanda
3.4.1.E,Qual o número de gratuidades no serviço de transporte por ônibus em 2023?,Qual o número de gratuidades no serviço de transporte por ônibus no ano?,Passageiros de Ônibus (Gratuidade),numeric,Ônibus,1,1,1,0,0,1,1,Demanda
3.4.1.F,Qual o número de passageiros equivalentes transportados no serviço de transporte por ônibus em 2023?,Qual o número de passageiros equivalentes transportados no serviço de transporte por ônibus no ano?,Passageiros de Ônibus (Equivalentes),numeric,Ônibus,1,1,1,0,0,1,1,Demanda
3.4.1.G,Qual o número de passageiros comuns transportados no serviço de transporte por vans/microônibus em 2023?,Qual o número de passageiros comuns transportados no serviço de transporte por vans/microônibus no ano?,Passageiros de Ônibus (Comum),numeric,Microônibus,1,1,1,0,0,1,1,Demanda
3.4.1.H,Qual o número de passageiros transportados com Vale Transporte no serviço de transporte por vans/microônibus em 2023?,Qual o número de passageiros transportados com Vale Transporte no serviço de transporte por vans/microônibus no ano?,Passageiros de Ônibus (Vale Transporte),numeric,Microônibus,1,1,1,0,0,1,1,Demanda
3.4.1.I,Qual o número de estudantes transportados no serviço de transporte por vans/microônibus em 2023?,Qual o número de estudantes transportados no serviço de transporte por vans/microônibus no ano?,Passageiros de Ônibus (Estudante),numeric,Microônibus,1,1,1,0,0,1,1,Demanda
3.4.1.J,Qual o número de passageiros transportados com integração tarifária no serviço de transporte por vans/microônibus em 2023?,Qual o número de passageiros transportados com integração tarifária no serviço de transporte por vans/microônibus no ano?,Passageiros de Ônibus (Integração),numeric,Microônibus,1,1,1,0,0,1,1,Demanda
3.4.1.K,Qual o número de gratuidades no serviço de transporte por vans/microônibus em 2023?,Qual o número de gratuidades no serviço de transporte por vans/microônibus no ano?,Passageiros de Ônibus (Gratuidade),numeric,Microônibus,1,1,1,0,0,1,1,Demanda
3.4.1.L,Qual o número de passageiros equivalentes transportados no serviço de transporte por vans/microônibus em 2023?,Qual o número de passageiros equivalentes transportados no serviço de transporte por vans/microônibus no ano?,Passageiros de Ônibus (Equivalentes),numeric,Microônibus,1,1,1,0,0,1,1,Demanda
3.4.1.M,Qual o número de passageiros comuns transportados no serviço de transporte por metrô em 2023?,Qual o número de passageiros comuns transportados no serviço de transporte por metrô no ano?,Passageiros de Ônibus (Comum),numeric,Metrô,1,1,1,0,0,1,1,Demanda
3.4.1.N,Qual o número de passageiros transportados com Vale Transporte no serviço de transporte por metrô em 2023?,Qual o número de passageiros transportados com Vale Transporte no serviço de transporte por metrô no ano?,Passageiros de Ônibus (Vale Transporte),numeric,Metrô,1,1,1,0,0,1,1,Demanda
3.4.1.O,Qual o número de estudantes transportados no serviço de transporte por metrô em 2023?,Qual o número de estudantes transportados no serviço de transporte por metrô no ano?,Passageiros de Ônibus (Estudante),numeric,Metrô,1,1,1,0,0,1,1,Demanda
3.4.1.P,Qual o número de passageiros transportados com integração tarifária no serviço de transporte por metrô em 2023?,Qual o número de passageiros transportados com integração tarifária no serviço de transporte por metrô no ano?,Passageiros de Ônibus (Integração),numeric,Metrô,1,1,1,0,0,1,1,Demanda
3.4.1.Q,Qual o número de gratuidades no serviço de transporte por metrô em 2023?,Qual o número de gratuidades no serviço de transporte por metrô no ano?,Passageiros de Ônibus (Gratuidade),numeric,Metrô,1,1,1,0,0,1,1,Demanda
3.4.1.R,Qual o número de passageiros equivalentes transportados no serviço de transporte por metrô em 2023?,Qual o número de passageiros equivalentes transportados no serviço de transporte por metrô no ano?,Passageiros de Ônibus (Equivalentes),numeric,Metrô,1,1,1,0,0,1,1,Demanda
3.4.1.Y,Qual o número de passageiros comuns transportados no serviço de transporte por barco em 2023?,Qual o número de passageiros comuns transportados no serviço de transporte por barco no ano?,Passageiros de Ônibus (Comum),numeric,Barco,1,1,1,0,0,1,1,Demanda
3.4.1.AA,Qual o número de estudantes transportados no serviço de transporte por barco em 2023?,Qual o número de estudantes transportados no serviço de transporte por barco no ano?,Passageiros de Ônibus (Estudante),numeric,Barco,1,1,1,0,0,1,1,Demanda
3.4.1.AC,Qual o número de gratuidades no serviço de transporte por barco em 2023?,Qual o número de gratuidades no serviço de transporte por barco no ano?,Passageiros de Ônibus (Gratuidade),numeric,Barco,1,1,1,0,0,1,1,Demanda
3.4.1.AD,Qual o número de passageiros equivalentes transportados no serviço de transporte por barco em 2023?,Qual o número de passageiros equivalentes transportados no serviço de transporte por barco no ano?,Passageiros de Ônibus (Equivalentes),numeric,Barco,1,1,1,0,0,1,1,Demanda
3.5.1.A,Qual o percentual de desconto sobre a valor da tarifa pago pelos passageiros de baixa renda?,Qual o percentual de desconto sobre a valor da tarifa pago pelos passageiros de baixa renda?,Baixa Renda - Percentual de Desconto,numeric,NA,0,0,0,0,1,0,1,Tarifas
3.5.1.AA,Qual a renda máxima das pessoas de baixa renda que recebem desconto na no valor da tarifa? (Em salários mínimos),Qual a renda máxima das pessoas de baixa renda que recebem desconto na no valor da tarifa? (Em salários mínimos),Baixa Renda - Classificação,numeric,NA,0,0,0,0,0,1,1,Tarifas
3.5.1.B,Qual o percentual de desconto sobre a valor da tarifa pago pelos passageiros com idade de 60 a 64 anos?,Qual o percentual de desconto sobre a valor da tarifa pago pelos passageiros com idade de 60 a 64 anos?,Idosos - Tarifa Paga,numeric,NA,0,0,0,0,1,0,1,Tarifas
3.5.1.C,Qual o percentual de desconto sobre a valor da tarifa pago pelos passageiros com deficiência e mobilidade reduzida?,Qual o percentual de desconto sobre a valor da tarifa pago pelos passageiros com deficiência e mobilidade reduzida?,Deficientes - Tarifa Paga,numeric,NA,0,0,0,0,1,0,1,Tarifas
3.5.1.D,Qual o percentual de desconto sobre a valor da tarifa pago pelos estudantes da rede pública de ensino?,Qual o percentual de desconto sobre a valor da tarifa pago pelos estudantes da rede pública de ensino?,Estudantes de Rede Pública - Percentual de Desconto,numeric,NA,0,0,0,0,1,0,1,Tarifas
3.5.1.E,Qual o percentual de desconto sobre a valor da tarifa pago pelos estudantes da rede privada de ensino?,Qual o percentual de desconto sobre a valor da tarifa pago pelos estudantes da rede privada de ensino?,Estudantes de Rede Privada - Percentual de Desconto,numeric,NA,0,0,0,0,1,0,1,Tarifas
3.6.1.A,Qual o valor da Bandeirada do transporte público individual (táxi) no município?,Qual o valor da Bandeirada do transporte público individual (táxi) no município?,Táxi - Valor da Bandeirada,numeric,Táxi,1,1,0,0,0,1,1,Tarifas
3.6.1.B,"Qual o valor da Bandeirada 1 do serviço de táxi, por quilômetro rodado, se houver?","Qual o valor da Bandeirada 1 do serviço de táxi, por quilômetro rodado, se houver?",Táxi - Valor da Bandeirada 1,numeric,Táxi,0,0,0,0,0,1,1,Tarifas
3.6.1.C,"Qual o valor da Bandeirada 2 do serviço de táxi, por quilômetro rodado, se houver?","Qual o valor da Bandeirada 2 do serviço de táxi, por quilômetro rodado, se houver?",Táxi - Valor da Bandeirada 2,numeric,Táxi,0,0,NA,0,0,1,1,Tarifas
3.6.1.D,"Qual o valor do serviço de táxi, por hora parada, se houver?","Qual o valor do serviço de táxi, por hora parada, se houver?",Táxi - Valor Hora Parada,numeric,Táxi,1,1,0,0,0,1,1,Tarifas
3.6.1.E,"Qual o valor da tarifa aeroporto do serviço de táxi, se houver?","Qual o valor da tarifa aeroporto do serviço de táxi, se houver?",Táxi - Valor Tarifa Aeroporto,numeric,Táxi,1,1,0,0,0,1,1,Tarifas
