code_variable,name_variable,label_pergunta,label,categoria,subcategoria,modal,submodal,tipo,is_dashboard,is_portal,is_transform,is_average,is_percentage,is_absolute,is_candidate
1.6.1.M,Qual a quilometragem de vias dedicadas exclusivamente a aeromóvel no município?,Qual a quilometragem de vias dedicadas exclusivamente a aeromóvel no município?,Extensão da malha (aeromóvel),Modais de transporte,Frota,Aeromóvel,NA,numeric,0,1,0,0,0,1,1
1.7.1.A,Qual a quilometragem percorrida no ano de 2023 pela frota de ônibus do município?,Qual a quilometragem percorrida no ano pela frota de ônibus do município?,Quilômetros Percorridos (Ônibus),Modais de transporte,Frota,Ônibus,NA,numeric,1,1,1,0,0,1,1
1.7.1.B,Qual a quilometragem percorrida no ano de 2023 pela frota de vans/microônibus do município?,Qual a quilometragem percorrida no ano pela frota de vans/microônibus do município?,Quilômetros Percorridos (Microônibus),Modais de transporte,Frota,Microônibus,NA,numeric,1,1,1,0,0,1,1
1.7.1.C,Qual a quilometragem percorrida no ano de 2023 pela frota de metrô do município?,Qual a quilometragem percorrida no ano pela frota de metrô do município?,Quilômetros Percorridos (Metrô),Modais de transporte,Frota,Metrô,NA,numeric,1,1,1,0,0,1,1
1.7.1.D,Qual a quilometragem percorrida no ano de 2023 pela frota de trem do município?,Qual a quilometragem percorrida no ano pela frota de trem do município?,Quilômetros Percorridos (Trem),Modais de transporte,Frota,Trem,NA,numeric,1,1,1,0,0,1,0
1.7.1.E,Qual a quilometragem percorrida no ano de 2023 pela frota de barco/catamarã do município?,Qual a quilometragem percorrida no ano pela frota de barco/catamarã do município?,Quilômetros Percorridos (Barco),Modais de transporte,Frota,Barco,NA,numeric,1,1,1,0,0,1,1
1.7.1.F,Qual a quilometragem percorrida no ano de 2023 pela frota de VLT do município?,Qual a quilometragem percorrida no ano pela frota de VLT do município?,Quilômetros Percorridos (VLT),Modais de transporte,Frota,VLT,NA,numeric,1,1,1,0,0,1,0
1.7.1.G,Qual a quilometragem percorrida no ano de 2023 pela frota de monotrilho do município?,Qual a quilometragem percorrida no ano pela frota de monotrilho do município?,Quilômetros Percorridos (Monotrilho),Modais de transporte,Frota,Monotrilho,Monotrilho,numeric,1,1,1,0,0,1,0
1.7.1.H,Qual a quilometragem percorrida no ano de 2023 pela frota de aeromóvel do município?,Qual a quilometragem percorrida no ano pela frota de aeromóvel do município?,Quilômetros Percorridos (Aeromóvel),Modais de transporte,Frota,Aeromóvel,Aeromóvel,numeric,1,1,1,0,0,1,0
2.1.1.A,Qual a velocidade média operacional (km/h) do sistema de BRT do município em faixas prioritárias no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de BRT do município em faixas prioritárias no horário de pico?,Velocidade Média do BRT em faixas prioritárias (pico),Modais de transporte,Frota,NA,BRT,numeric,1,1,0,1,0,0,1
2.1.1.B,Qual a velocidade média operacional (km/h) nos corredores de ônibus do município no horário de pico?,Qual a velocidade média operacional (km/h) nos corredores de ônibus do município no horário de pico?,Velocidade Média do Ônibus nos Corredores (pico),Modais de transporte,Frota,Ônibus,Ônibus,numeric,1,1,0,1,0,0,1
2.1.1.C,Qual a velocidade média operacional (km/h) nas faixas exclusivas de ônibus do município no horário de pico?,Qual a velocidade média operacional (km/h) nas faixas exclusivas de ônibus do município no horário de pico?,Velocidade Média do Ônibus nas Faixas Exclusivas (pico),Modais de transporte,Frota,Ônibus,Ônibus,numeric,1,1,0,1,0,0,1
2.1.1.D,Qual a velocidade média operacional (km/h) do sistema de metrô do município no horário de pico?,Qual a velocidade média operacional (km/h) do sistema de metrô do município no horário de pico?,Velocidade Média do Metrô (pico),Modais de transporte,Frota,Metrô,Metrô,numeric,1,1,0,1,0,0,1
