name_variable,code_variable
Cofins (%) - VLT,3.3.1.AH
Outros (%) - VLT,3.3.1.AI
"Se “Outros”, qual? - VLT",3.3.1.AJ
ISS (%) - Monotrilho,3.3.1.AK
Taxa de Gerenciamento (%) - Monotrilho,3.3.1.AL
PIS (%) - Monotrilho,3.3.1.AM
Cofins (%) - Monotrilho,3.3.1.AN
Outros (%) - Monotrilho,3.3.1.AO
"Se “Outros”, qual? - Monotrilho",3.3.1.AP
ISS (%) - Aeromóvel,3.3.1.AQ
Taxa de Gerenciamento (%) - Aeromóvel,3.3.1.AR
PIS (%) - Aeromóvel,3.3.1.AS
Cofins (%) - Aeromóvel,3.3.1.AT
Outros (%) - Aeromóvel,3.3.1.AU
"Se “Outros”, qual? - Aeromóvel",3.3.1.AV
Pagante Comum - Ônibus,3.4.1.A
Vale Transporte - Ônibus,3.4.1.B
Estudante - Ônibus,3.4.1.C
Integração - Ônibus,3.4.1.D
Gratuidades - Ônibus,3.4.1.E
Equivalentes - Ônibus,3.4.1.F
Pagante comum - Vans/Microônibus,3.4.1.G
Vale Transporte - Vans/Microônibus,3.4.1.H
Estudante - Vans/Microônibus,3.4.1.I
Integração - Vans/Microônibus,3.4.1.J
Gratuidades - Vans/Microônibus,3.4.1.K
Equivalentes - Vans/Microônibus,3.4.1.L
Pagante comum - Metrô,3.4.1.M
Vale Transporte - Metrô,3.4.1.N
Estudante - Metrô,3.4.1.O
Integração - Metrô,3.4.1.P
Gratuidades - Metrô,3.4.1.Q
Equivalentes - Metrô,3.4.1.R
Pagante comum -Trem,3.4.1.S
Vale Transporte - Trem,3.4.1.T
Estudante - Trem,3.4.1.U
Integração - Trem,3.4.1.V
Gratuidades - Trem,3.4.1.W
Equivalentes - Trem,3.4.1.X
Pagante comum - Barco,3.4.1.Y
Vale Transporte - Barco,3.4.1.Z
Estudante - Barco,3.4.1.AA
Integração - Barco,3.4.1.AB
Gratuidades - Barco,3.4.1.AC
Equivalentes - Barco,3.4.1.AD
Pagante comum - VLT,3.4.1.AE
Vale Transporte - VLT,3.4.1.AF
Estudante - VLT,3.4.1.AG
Integração - VLT,3.4.1.AH
Gratuidades - VLT,3.4.1.AI
Equivalentes - VLT,3.4.1.AJ
Pagante comum - Monotrilho,3.4.1.AK
Vale Transporte - Monotrilho,3.4.1.AL
Estudante - Monotrilho,3.4.1.AM
Integração - Monotrilho,3.4.1.AN
Gratuidades - Monotrilho,3.4.1.AO
Equivalentes - Monotrilho,3.4.1.AP
Pagante comum - Aeromóvel,3.4.1.AQ
Vale Transporte - Aeromóvel,3.4.1.AR
Estudante - Aeromóvel,3.4.1.AS
Integração - Aeromóvel,3.4.1.AT
Gratuidades - Aeromóvel,3.4.1.AV
Equivalentes - Aeromóvel,3.4.1.AW
Descontos - Pessoas de baixa renda,3.5.1.A
Pessoas de baixa renda –  Limite de renda (Em Salários Mínimos),3.5.1.B
Desconto para pessoas 60 a 65 anos (%),3.5.1.C
Desconto para pessoas com deficiência e mobilidade reduzida (%),3.5.1.D
Desconto para estudantes da rede pública (%),3.5.1.E
Desconto para estudantes da rede privada (%),3.5.1.F
Qual o valor da bandeirada por transporte individual (táxi)? : Tarifas : Bandeirada (R$) - Táxi,3.6.1.A
Bandeirada 1 (R$/km) - Táxi,3.6.1.B
Bandeirada 2 (R$/km)  - Táxi,3.6.1.C
Hora parada (R$/h)  - Táxi,3.6.1.D
Tarifa Aeroporto (R$/km)  - Táxi,3.6.1.E
Bandeirada (R$) - Mototáxi,3.6.1.F
Bandeirada 1 (R$/km) - Mototáxi,3.6.1.G
Bandeirada 2 (R$/km)  - Mototáxi,3.6.1.H
Hora parada (R$/h)  - Mototáxi,3.6.1.I
